Id_sprawozdania,Id_okresu,Id_jednostki,Id_naglowka,Id_pozycji
0,0,0,0,0
1,0,0,0,1
2,0,0,0,2
3,0,0,0,3
4,0,0,0,4
0,0,1,1,5
1,0,1,1,6
2,0,1,1,7
3,0,1,1,8
4,0,1,1,9
0,0,2,2,10
1,0,2,2,11
2,0,2,2,12
3,0,2,2,13
4,0,2,2,14
5,0,2,2,15
0,0,3,3,16
1,0,3,3,17
2,0,3,3,18
3,0,3,3,19
4,0,3,3,20
5,0,3,3,21
0,0,4,0,22
1,0,4,0,23
2,0,4,0,24
3,0,4,0,25
4,0,4,0,26
5,0,4,0,27
0,0,5,4,28
1,0,5,4,29
2,0,5,4,30
3,0,5,4,31
0,0,6,5,32
1,0,6,5,33
2,0,6,5,34
3,0,6,5,35
4,0,6,5,36
5,0,6,5,37
6,1,7,6,38
7,1,7,6,39
8,1,7,6,40
9,1,7,6,41
6,1,8,7,42
7,1,8,7,43
8,1,8,7,44
9,1,8,7,45
10,1,8,7,46
11,1,8,7,47
12,1,8,7,48
6,1,9,7,49
7,1,9,7,50
8,1,9,7,51
9,1,9,7,52
10,1,9,7,53
11,1,9,7,54
12,1,9,7,55
13,1,9,7,56
6,1,10,6,57
7,1,10,6,58
8,1,10,6,59
9,1,10,6,60
10,1,10,6,61
11,1,10,6,62
12,1,10,6,63
6,1,11,8,64
7,1,11,8,65
8,1,11,8,66
9,1,11,8,67
10,1,11,8,68
11,1,11,8,69
6,1,12,7,70
7,1,12,7,71
8,1,12,7,72
9,1,12,7,73
10,1,12,7,74
6,1,13,6,75
7,1,13,6,76
8,1,13,6,77
9,1,13,6,78
10,1,13,6,79
11,0,0,0,0
12,0,0,0,1
13,0,0,0,2
14,0,0,0,3
15,0,0,0,4
11,0,1,1,5
12,0,1,1,6
13,0,1,1,7
14,0,1,1,8
15,0,1,1,9
11,0,2,2,10
12,0,2,2,11
13,0,2,2,12
14,0,2,2,13
15,0,2,2,14
16,0,2,2,15
11,0,3,3,16
12,0,3,3,17
13,0,3,3,18
14,0,3,3,19
15,0,3,3,20
16,0,3,3,21
11,0,4,0,22
12,0,4,0,23
13,0,4,0,24
14,0,4,0,25
15,0,4,0,26
16,0,4,0,27
11,0,5,4,28
12,0,5,4,29
13,0,5,4,30
14,0,5,4,31
11,0,6,5,32
12,0,6,5,33
13,0,6,5,34
14,0,6,5,35
15,0,6,5,36
16,0,6,5,37
17,1,7,6,38
18,1,7,6,39
19,1,7,6,40
20,1,7,6,41
17,1,8,7,42
18,1,8,7,43
19,1,8,7,44
20,1,8,7,45
21,1,8,7,46
22,1,8,7,47
23,1,8,7,48
17,1,9,7,49
18,1,9,7,50
19,1,9,7,51
20,1,9,7,52
21,1,9,7,53
22,1,9,7,54
23,1,9,7,55
24,1,9,7,56
17,1,10,6,57
18,1,10,6,58
19,1,10,6,59
20,1,10,6,60
21,1,10,6,61
22,1,10,6,62
23,1,10,6,63
17,1,11,8,64
18,1,11,8,65
19,1,11,8,66
20,1,11,8,67
21,1,11,8,68
22,1,11,8,69
17,1,12,7,70
18,1,12,7,71
19,1,12,7,72
20,1,12,7,73
21,1,12,7,74
17,1,13,6,75
18,1,13,6,76
19,1,13,6,77
20,1,13,6,78
21,1,13,6,79
