Id_pozycji,Dzial,Rodzial,Grupa,Paragraf,P4,PL,ZA,WW,ZO
0,801,,1300,302,0,11420.00,5439.95,5439.95,
1,801,,1400,401,0,663000.00,663000.00,285814.07,13085.96
2,801,,1400,404,0,58000.00,41125.90,41125.90,
3,801,,1400,411,0,459320.00,459320.00,224485.67,35577.31
4,801,,1400,412,0,62196.00,62196.00,23635.61,3877.30
5,801,,1400,417,0,25000.00,25000.00,23034.60,490.60
6,801,,1100,421,0,59595.00,37416.65,36744.60,
7,801,,1100,424,0,20362.00,1527.90,1527.90,
8,801,,1100,426,0,161700.00,78620.68,78238.08,
9,801,,1100,427,0,21120.00,,,
10,801,,1100,428,0,10780.00,420.00,420.00,
11,801,,1100,430,0,46510.00,36174.83,35325.64,
12,801,,1100,436,0,5390.00,1127.07,1127.07,
13,801,,1100,441,0,2150.00,,,
14,801,,1100,444,0,187057.00,187057.00,150263.00,
15,801,,1100,470,0,4300.00,2769.47,2769.47,
16,801,,1400,471,0,50000.00,50000.00,15.17,
17,801,,1400,479,0,1884207.00,1884207.00,937228.21,48283.34
18,801,,1400,480,0,159800.00,138121.47,138121.47,
19,801,,1400,411,0,20300.00,20300.00,13904.65,2136.76
20,801,,1400,412,0,3200.00,3200.00,1203.45,224.34
21,801,,1100,421,0,5550.00,30.00,30.00,
22,801,,1100,444,0,7972.00,7972.00,6737.00,
23,801,,1400,471,0,100.00,100.00,,
24,801,,1400,479,0,120000.00,120000.00,79546.07,3710.70
25,801,,1400,480,0,10200.00,4778.10,4778.10,
26,801,,1100,430,0,4479.00,,,
27,801,,1100,470,0,7465.00,2767.00,2767.00,
28,801,,1300,302,0,3340.00,,,
29,801,,1400,401,0,192000.00,192000.00,97497.95,3495.79
30,801,,1400,404,0,17600.00,14153.56,14153.56,
31,801,,1400,411,0,30500.00,30500.00,19389.50,1386.06
32,801,,1400,412,0,6000.00,6000.00,1682.51,168.19
33,801,,1100,421,0,2000.00,1501.25,1501.25,
34,801,,1100,422,0,120000.00,93721.08,93721.08,
35,801,,1100,444,0,6652.00,6652.00,5000.00,
36,801,,1400,471,0,4000.00,4000.00,,
37,854,,1300,324,0,4960.00,4960.00,4960.00,
38,801,,1300,302,0,5545.00,2751.00,2751.00,
39,801,,1400,401,0,581373.00,581373.00,216294.29,10317.66
40,801,,1400,404,0,40611.00,36970.91,36970.91,
41,801,,1400,411,0,418133.00,418133.00,178302.69,28263.86
42,801,,1400,412,0,55669.00,55669.00,18423.99,3276.52
43,801,,1100,414,0,5748.00,2931.00,2931.00,
44,801,,1400,417,0,5000.00,5000.00,,
45,801,,1100,421,0,36687.00,16505.56,16505.56,
46,801,,1100,424,0,4101.00,386.83,386.83,
47,801,,1100,426,0,183303.00,108122.38,108122.38,
48,801,,1100,427,0,13142.00,4700.00,4700.00,
49,801,,1100,428,0,1574.00,890.00,890.00,
50,801,,1100,430,0,43839.00,32325.12,30273.60,2051.52
51,801,,1100,436,0,5725.00,1747.23,1747.23,
52,801,,1100,441,0,1352.00,110.40,110.40,
53,801,,1100,444,0,153654.00,153654.00,116513.42,
54,801,,1100,470,0,1729.00,400.00,400.00,
55,801,,1400,471,0,31986.00,31986.00,637.96,
56,801,,1400,479,0,1663551.00,1663551.00,696953.91,38426.08
57,801,,1400,480,0,132371.00,128099.93,128099.93,
58,801,,1400,411,0,28854.00,28854.00,13409.46,422.50
59,801,,1400,412,0,3428.00,3428.00,199.29,36.72
60,801,,1100,444,0,7872.00,7872.00,5903.90,
61,801,,1400,471,0,900.00,900.00,436.27,
62,801,,1400,479,0,161794.00,161794.00,61383.63,3031.65
63,801,,1400,480,0,10992.00,10391.10,10391.10,
64,801,,1100,430,0,3808.00,,,
65,801,,1100,470,0,6347.00,4269.20,4269.20,
66,801,,1300,302,0,665.00,,,
67,801,,1400,401,0,161515.00,161515.00,60057.21,3123.66
68,801,,1400,404,0,11529.00,11229.83,11229.83,
69,801,,1400,411,0,26102.00,26102.00,11390.66,2210.07
70,801,,1400,412,0,4456.00,4456.00,1631.96,316.64
71,801,,1100,422,0,113000.00,57873.53,57873.53,
72,801,,1100,428,0,244.00,50.00,50.00,
73,801,,1100,444,0,4989.00,4989.00,3741.68,
74,801,,1400,471,0,2556.00,2556.00,,
75,801,,1400,411,0,2500.00,2500.00,506.07,149.38
76,801,,1400,412,0,500.00,500.00,72.50,21.40
77,801,,1400,479,0,15000.00,15000.00,3555.61,277.62
78,854,,1300,324,0,1488.00,1488.00,1488.00,
79,801,,1300,302,0,9000.00,3235.19,3235.19,
80,801,,1400,401,0,711414.00,711414.00,320825.11,15140.94
81,801,,1400,404,0,60811.00,51911.90,51911.90,
82,801,,1400,411,0,443701.00,443701.00,205556.79,37907.13
83,801,,1400,412,0,59889.00,59889.00,19706.66,3823.51
84,801,,1400,417,0,5200.00,5200.00,,
85,801,,1100,421,0,64895.00,27947.53,27947.53,
86,801,,1100,424,0,9863.00,,,
87,801,,1100,426,0,240000.00,148903.84,148903.84,
88,801,,1100,427,0,16943.00,5264.63,5264.63,
89,801,,1100,428,0,8700.00,1697.00,1697.00,
90,801,,1100,430,0,50704.00,26076.30,26076.30,
91,801,,1100,436,0,8408.00,2476.53,2476.53,
92,801,,1100,441,0,2328.00,46.00,46.00,
93,801,,1100,444,0,179399.00,179399.00,134550.00,
94,801,,1100,448,0,665.00,,,
95,801,,1100,470,0,3436.00,,,
96,801,,1400,471,0,10000.00,10000.00,2193.86,
97,801,,1400,479,0,1847300.00,1847300.00,859601.31,44178.45
98,801,,1400,480,0,140571.00,140570.84,140570.84,
99,801,,1400,411,0,21600.00,21600.00,10008.02,1850.27
100,801,,1400,412,0,3500.00,3500.00,1417.26,263.65
101,801,,1100,444,0,6700.00,6700.00,5025.00,
102,801,,1400,471,0,100.00,100.00,4.71,
103,801,,1400,479,0,127500.00,127500.00,66905.52,2776.77
104,801,,1400,480,0,10800.00,9569.93,9569.93,
105,801,,1100,430,0,4569.00,1384.00,1384.00,
106,801,,1100,470,0,7615.00,659.00,659.00,
107,801,,1300,302,0,3100.00,462.94,462.94,
108,801,,1400,401,0,260158.00,260158.00,111060.39,5399.63
