Id_sprawozdania,Id_okresu,Id_jednostki,Id_naglowka,Id_pozycji
0,0,0,0,0
1,0,0,0,1
2,0,0,0,2
3,0,0,0,3
4,0,0,0,4
5,0,0,0,5
6,0,0,0,6
7,0,0,0,7
8,0,0,0,8
9,0,0,0,9
10,0,0,0,10
11,0,0,0,11
12,0,0,0,12
13,0,0,0,13
14,0,0,0,14
15,0,0,0,15
16,0,0,0,16
17,0,0,0,17
18,0,0,0,18
19,0,0,0,19
20,0,0,0,20
21,0,0,0,21
22,0,0,0,22
23,0,0,0,23
24,0,0,0,24
25,0,0,0,25
26,0,0,0,26
27,0,0,0,27
28,0,0,0,28
29,0,0,0,29
30,0,0,0,30
31,0,0,0,31
32,0,0,0,32
33,0,0,0,33
34,0,0,0,34
35,0,0,0,35
36,0,0,0,36
37,0,0,0,37
0,0,1,1,38
1,0,1,1,39
2,0,1,1,40
3,0,1,1,41
4,0,1,1,42
5,0,1,1,43
6,0,1,1,44
7,0,1,1,45
8,0,1,1,46
9,0,1,1,47
10,0,1,1,48
11,0,1,1,49
12,0,1,1,50
13,0,1,1,51
14,0,1,1,52
15,0,1,1,53
16,0,1,1,54
17,0,1,1,55
18,0,1,1,56
19,0,1,1,57
20,0,1,1,58
21,0,1,1,59
22,0,1,1,60
23,0,1,1,61
24,0,1,1,62
25,0,1,1,63
26,0,1,1,64
27,0,1,1,65
28,0,1,1,66
29,0,1,1,67
30,0,1,1,68
31,0,1,1,69
32,0,1,1,70
33,0,1,1,71
34,0,1,1,72
35,0,1,1,73
36,0,1,1,74
37,0,1,1,75
38,0,1,1,76
39,0,1,1,77
40,0,1,1,78
0,0,2,2,79
1,0,2,2,80
2,0,2,2,81
3,0,2,2,82
4,0,2,2,83
5,0,2,2,84
6,0,2,2,85
7,0,2,2,86
8,0,2,2,87
9,0,2,2,88
10,0,2,2,89
11,0,2,2,90
12,0,2,2,91
13,0,2,2,92
14,0,2,2,93
15,0,2,2,94
16,0,2,2,95
17,0,2,2,96
18,0,2,2,97
19,0,2,2,98
20,0,2,2,99
21,0,2,2,100
22,0,2,2,101
23,0,2,2,102
24,0,2,2,103
25,0,2,2,104
26,0,2,2,105
27,0,2,2,106
28,0,2,2,107
29,0,2,2,108
30,0,2,2,109
31,0,2,2,110
32,0,2,2,111
33,0,2,2,112
34,0,2,2,113
35,0,2,2,114
36,0,2,2,115
37,0,2,2,116
38,0,2,2,117
39,0,2,2,118
40,0,2,2,115
41,0,2,2,119
42,0,2,2,120
43,0,2,2,121
0,0,3,3,122
1,0,3,3,123
2,0,3,3,124
3,0,3,3,125
4,0,3,3,126
5,0,3,3,127
6,0,3,3,128
7,0,3,3,129
8,0,3,3,130
9,0,3,3,131
10,0,3,3,132
11,0,3,3,133
12,0,3,3,134
13,0,3,3,135
14,0,3,3,136
15,0,3,3,137
16,0,3,3,138
17,0,3,3,139
18,0,3,3,140
19,0,3,3,141
20,0,3,3,142
21,0,3,3,143
22,0,3,3,144
23,0,3,3,145
24,0,3,3,146
25,0,3,3,147
26,0,3,3,148
27,0,3,3,149
28,0,3,3,150
29,0,3,3,151
30,0,3,3,152
31,0,3,3,153
32,0,3,3,154
33,0,3,3,155
34,0,3,3,156
35,0,3,3,157
36,0,3,3,158
37,0,3,3,159
38,0,3,3,160
39,0,3,3,161
40,0,3,3,162
41,0,3,3,163
0,0,4,4,164
1,0,4,4,165
2,0,4,4,166
3,0,4,4,167
4,0,4,4,168
5,0,4,4,169
6,0,4,4,170
7,0,4,4,171
8,0,4,4,172
9,0,4,4,173
